ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION
19,NUEVO LEON,2,16,6,2511
19,NUEVO LEON,2,16,6,2513
19,NUEVO LEON,2,16,6,2514
19,NUEVO LEON,2,16,6,2735
19,NUEVO LEON,2,16,6,2736
19,NUEVO LEON,2,16,6,2917
19,NUEVO LEON,2,16,6,2918
19,NUEVO LEON,2,16,6,2919
19,NUEVO LEON,2,16,6,2920
19,NUEVO LEON,2,16,6,2921
19,NUEVO LEON,2,16,6,2922
19,NUEVO LEON,2,16,6,3044
19,NUEVO LEON,2,16,6,3045
19,NUEVO LEON,2,16,6,3046
19,NUEVO LEON,2,16,6,3047
19,NUEVO LEON,2,16,6,3048
19,NUEVO LEON,2,16,6,3049
19,NUEVO LEON,2,16,6,3127
19,NUEVO LEON,2,16,6,3128
19,NUEVO LEON,2,16,6,3129
19,NUEVO LEON,2,16,6,3130
19,NUEVO LEON,2,16,6,3131
19,NUEVO LEON,3,17,21,430
19,NUEVO LEON,3,17,21,431
19,NUEVO LEON,3,17,21,432
19,NUEVO LEON,3,17,21,434
19,NUEVO LEON,3,17,21,435
19,NUEVO LEON,3,17,21,436
19,NUEVO LEON,3,17,21,437
19,NUEVO LEON,3,17,21,438
19,NUEVO LEON,3,17,21,445
19,NUEVO LEON,3,17,21,446
19,NUEVO LEON,3,17,21,447
19,NUEVO LEON,3,17,21,448
19,NUEVO LEON,3,17,21,449
19,NUEVO LEON,3,17,21,450
19,NUEVO LEON,3,17,21,451
19,NUEVO LEON,3,17,21,452
19,NUEVO LEON,3,17,21,459
19,NUEVO LEON,3,17,21,460
19,NUEVO LEON,3,17,21,461
19,NUEVO LEON,3,17,21,463
19,NUEVO LEON,3,17,21,464
19,NUEVO LEON,3,17,21,465
19,NUEVO LEON,3,17,21,466
19,NUEVO LEON,3,17,21,467
19,NUEVO LEON,3,17,21,468
19,NUEVO LEON,3,17,21,470
19,NUEVO LEON,3,17,21,471
19,NUEVO LEON,3,17,21,473
19,NUEVO LEON,3,17,21,475
19,NUEVO LEON,3,17,21,476
19,NUEVO LEON,3,17,21,477
19,NUEVO LEON,3,17,21,478
19,NUEVO LEON,3,17,21,479
19,NUEVO LEON,3,17,21,481
19,NUEVO LEON,3,17,21,482
19,NUEVO LEON,3,17,21,484
19,NUEVO LEON,3,17,21,485
19,NUEVO LEON,3,17,21,486
19,NUEVO LEON,3,17,21,487
19,NUEVO LEON,3,17,21,488
19,NUEVO LEON,3,17,21,489
19,NUEVO LEON,3,17,21,490
19,NUEVO LEON,3,17,21,2142
19,NUEVO LEON,3,17,21,2758
19,NUEVO LEON,3,17,21,2759
19,NUEVO LEON,3,17,21,2760
19,NUEVO LEON,3,17,21,2761
19,NUEVO LEON,3,17,21,2762
19,NUEVO LEON,3,17,21,2763
19,NUEVO LEON,3,17,21,2764
19,NUEVO LEON,3,17,21,2765
19,NUEVO LEON,3,17,21,2766
19,NUEVO LEON,3,17,21,2932
19,NUEVO LEON,3,17,21,2933
19,NUEVO LEON,3,17,21,2934
19,NUEVO LEON,3,17,21,2935
19,NUEVO LEON,3,17,21,2938
19,NUEVO LEON,3,17,21,2939
19,NUEVO LEON,3,17,21,2940
19,NUEVO LEON,3,17,21,2941
19,NUEVO LEON,3,17,21,2942
19,NUEVO LEON,3,17,21,2943
19,NUEVO LEON,3,17,21,2981
19,NUEVO LEON,3,17,21,2982
19,NUEVO LEON,3,17,21,2983
19,NUEVO LEON,3,17,21,2984
19,NUEVO LEON,3,17,21,2985
19,NUEVO LEON,3,17,21,2986
19,NUEVO LEON,3,17,21,3050
19,NUEVO LEON,3,17,21,3051
19,NUEVO LEON,3,17,21,3052
19,NUEVO LEON,3,17,21,3053
19,NUEVO LEON,3,17,21,3054
19,NUEVO LEON,3,17,21,3148
19,NUEVO LEON,3,17,21,3149
19,NUEVO LEON,3,17,21,3150
19,NUEVO LEON,3,17,21,3151
19,NUEVO LEON,3,17,21,3152
19,NUEVO LEON,3,17,21,3153
19,NUEVO LEON,3,17,21,3154
19,NUEVO LEON,3,17,21,3155
19,NUEVO LEON,3,17,21,3156
19,NUEVO LEON,3,17,21,3157
19,NUEVO LEON,3,17,21,3158
19,NUEVO LEON,3,17,21,3159
19,NUEVO LEON,3,17,21,3160
19,NUEVO LEON,3,17,21,3161
19,NUEVO LEON,3,25,21,442
19,NUEVO LEON,3,25,21,443
19,NUEVO LEON,3,25,21,444
19,NUEVO LEON,3,25,21,454
19,NUEVO LEON,3,25,21,455
19,NUEVO LEON,3,25,21,456
19,NUEVO LEON,3,25,21,457
19,NUEVO LEON,3,25,21,458
19,NUEVO LEON,3,25,21,2137
19,NUEVO LEON,3,25,21,2138
19,NUEVO LEON,3,25,21,2139
19,NUEVO LEON,3,25,21,2140
19,NUEVO LEON,3,25,21,2141
19,NUEVO LEON,3,25,21,2143
19,NUEVO LEON,3,25,21,2144
19,NUEVO LEON,3,25,21,2145
19,NUEVO LEON,3,25,21,2146
19,NUEVO LEON,3,25,21,2147
19,NUEVO LEON,3,25,21,2148
19,NUEVO LEON,3,25,21,2149
19,NUEVO LEON,3,25,21,2150
19,NUEVO LEON,3,25,21,2151
19,NUEVO LEON,3,25,21,2152
19,NUEVO LEON,3,25,21,2153
19,NUEVO LEON,3,25,21,2154
19,NUEVO LEON,3,25,21,2155
19,NUEVO LEON,3,25,21,2156
19,NUEVO LEON,3,25,21,2157
19,NUEVO LEON,3,25,21,2158
19,NUEVO LEON,3,25,21,2159
19,NUEVO LEON,3,25,21,2160
19,NUEVO LEON,3,25,21,2161
19,NUEVO LEON,3,25,21,2162
